alpha,n,mu,variog_model,tau2,sigma2,phi,grid_type,min_x_grid,max_x_grid,min_y_grid,max_y_grid,min_delta,max_delta,n_points_delta,n_bootstrap,delta_range,potencia
0.05,20,0,exponencial,0,1,10,random,"(0,)","(100,)","(0,)","(100,)",-1,1,50,200,"[-1.         -0.95918367 -0.91836735 -0.87755102 -0.83673469 -0.79591837
 -0.75510204 -0.71428571 -0.67346939 -0.63265306 -0.59183673 -0.55102041
 -0.51020408 -0.46938776 -0.42857143 -0.3877551  -0.34693878 -0.30612245
 -0.26530612 -0.2244898  -0.18367347 -0.14285714 -0.10204082 -0.06122449
 -0.02040816  0.02040816  0.06122449  0.10204082  0.14285714  0.18367347
  0.2244898   0.26530612  0.30612245  0.34693878  0.3877551   0.42857143
  0.46938776  0.51020408  0.55102041  0.59183673  0.63265306  0.67346939
  0.71428571  0.75510204  0.79591837  0.83673469  0.87755102  0.91836735
  0.95918367  1.        ]","[0.98, 0.945, 0.92, 0.92, 0.91, 0.85, 0.805, 0.84, 0.765, 0.715, 0.675, 0.645, 0.6, 0.535, 0.49, 0.4, 0.335, 0.33, 0.25, 0.29, 0.205, 0.245, 0.205, 0.15, 0.175, 0.155, 0.125, 0.16, 0.175, 0.24, 0.245, 0.305, 0.325, 0.45, 0.465, 0.44, 0.54, 0.635, 0.595, 0.66, 0.745, 0.725, 0.81, 0.795, 0.835, 0.87, 0.935, 0.935, 0.945, 0.965]"
0.05,20,0,exponencial,0,1,20,random,"(0,)","(100,)","(0,)","(100,)",-1,1,50,200,"[-1.         -0.95918367 -0.91836735 -0.87755102 -0.83673469 -0.79591837
 -0.75510204 -0.71428571 -0.67346939 -0.63265306 -0.59183673 -0.55102041
 -0.51020408 -0.46938776 -0.42857143 -0.3877551  -0.34693878 -0.30612245
 -0.26530612 -0.2244898  -0.18367347 -0.14285714 -0.10204082 -0.06122449
 -0.02040816  0.02040816  0.06122449  0.10204082  0.14285714  0.18367347
  0.2244898   0.26530612  0.30612245  0.34693878  0.3877551   0.42857143
  0.46938776  0.51020408  0.55102041  0.59183673  0.63265306  0.67346939
  0.71428571  0.75510204  0.79591837  0.83673469  0.87755102  0.91836735
  0.95918367  1.        ]","[0.91, 0.87, 0.84, 0.795, 0.865, 0.795, 0.75, 0.77, 0.69, 0.695, 0.685, 0.67, 0.615, 0.575, 0.595, 0.48, 0.43, 0.445, 0.445, 0.39, 0.36, 0.365, 0.35, 0.34, 0.365, 0.275, 0.27, 0.34, 0.33, 0.42, 0.38, 0.445, 0.435, 0.51, 0.51, 0.6, 0.54, 0.57, 0.58, 0.72, 0.645, 0.68, 0.765, 0.77, 0.845, 0.815, 0.85, 0.835, 0.87, 0.91]"
0.05,20,0,exponencial,0,1,30,random,"(0,)","(100,)","(0,)","(100,)",-1,1,50,200,"[-1.         -0.95918367 -0.91836735 -0.87755102 -0.83673469 -0.79591837
 -0.75510204 -0.71428571 -0.67346939 -0.63265306 -0.59183673 -0.55102041
 -0.51020408 -0.46938776 -0.42857143 -0.3877551  -0.34693878 -0.30612245
 -0.26530612 -0.2244898  -0.18367347 -0.14285714 -0.10204082 -0.06122449
 -0.02040816  0.02040816  0.06122449  0.10204082  0.14285714  0.18367347
  0.2244898   0.26530612  0.30612245  0.34693878  0.3877551   0.42857143
  0.46938776  0.51020408  0.55102041  0.59183673  0.63265306  0.67346939
  0.71428571  0.75510204  0.79591837  0.83673469  0.87755102  0.91836735
  0.95918367  1.        ]","[0.85, 0.865, 0.885, 0.82, 0.815, 0.775, 0.75, 0.77, 0.755, 0.7, 0.725, 0.64, 0.605, 0.58, 0.53, 0.575, 0.56, 0.515, 0.56, 0.53, 0.45, 0.42, 0.49, 0.435, 0.43, 0.455, 0.49, 0.45, 0.425, 0.455, 0.495, 0.49, 0.475, 0.525, 0.57, 0.575, 0.665, 0.64, 0.62, 0.595, 0.72, 0.755, 0.76, 0.755, 0.765, 0.79, 0.84, 0.83, 0.845, 0.875]"
0.05,20,0,exponencial,0,1,40,random,"(0,)","(100,)","(0,)","(100,)",-1,1,50,200,"[-1.         -0.95918367 -0.91836735 -0.87755102 -0.83673469 -0.79591837
 -0.75510204 -0.71428571 -0.67346939 -0.63265306 -0.59183673 -0.55102041
 -0.51020408 -0.46938776 -0.42857143 -0.3877551  -0.34693878 -0.30612245
 -0.26530612 -0.2244898  -0.18367347 -0.14285714 -0.10204082 -0.06122449
 -0.02040816  0.02040816  0.06122449  0.10204082  0.14285714  0.18367347
  0.2244898   0.26530612  0.30612245  0.34693878  0.3877551   0.42857143
  0.46938776  0.51020408  0.55102041  0.59183673  0.63265306  0.67346939
  0.71428571  0.75510204  0.79591837  0.83673469  0.87755102  0.91836735
  0.95918367  1.        ]","[0.89, 0.805, 0.825, 0.81, 0.795, 0.78, 0.755, 0.705, 0.765, 0.715, 0.695, 0.635, 0.62, 0.665, 0.625, 0.635, 0.63, 0.575, 0.555, 0.575, 0.585, 0.63, 0.49, 0.54, 0.6, 0.58, 0.55, 0.56, 0.545, 0.575, 0.585, 0.535, 0.6, 0.595, 0.68, 0.6, 0.72, 0.635, 0.645, 0.71, 0.705, 0.705, 0.805, 0.815, 0.76, 0.8, 0.825, 0.785, 0.855, 0.86]"
0.05,20,0,exponencial,0,1,50,random,"(0,)","(100,)","(0,)","(100,)",-1,1,50,200,"[-1.         -0.95918367 -0.91836735 -0.87755102 -0.83673469 -0.79591837
 -0.75510204 -0.71428571 -0.67346939 -0.63265306 -0.59183673 -0.55102041
 -0.51020408 -0.46938776 -0.42857143 -0.3877551  -0.34693878 -0.30612245
 -0.26530612 -0.2244898  -0.18367347 -0.14285714 -0.10204082 -0.06122449
 -0.02040816  0.02040816  0.06122449  0.10204082  0.14285714  0.18367347
  0.2244898   0.26530612  0.30612245  0.34693878  0.3877551   0.42857143
  0.46938776  0.51020408  0.55102041  0.59183673  0.63265306  0.67346939
  0.71428571  0.75510204  0.79591837  0.83673469  0.87755102  0.91836735
  0.95918367  1.        ]","[0.84, 0.82, 0.825, 0.82, 0.78, 0.76, 0.77, 0.76, 0.72, 0.71, 0.715, 0.67, 0.67, 0.695, 0.62, 0.65, 0.66, 0.635, 0.625, 0.615, 0.545, 0.62, 0.615, 0.625, 0.605, 0.645, 0.625, 0.59, 0.625, 0.59, 0.64, 0.605, 0.65, 0.67, 0.6, 0.66, 0.66, 0.67, 0.65, 0.77, 0.765, 0.745, 0.785, 0.73, 0.795, 0.805, 0.82, 0.85, 0.865, 0.885]"
0.05,20,0,exponencial,0,1,60,random,"(0,)","(100,)","(0,)","(100,)",-1,1,50,200,"[-1.         -0.95918367 -0.91836735 -0.87755102 -0.83673469 -0.79591837
 -0.75510204 -0.71428571 -0.67346939 -0.63265306 -0.59183673 -0.55102041
 -0.51020408 -0.46938776 -0.42857143 -0.3877551  -0.34693878 -0.30612245
 -0.26530612 -0.2244898  -0.18367347 -0.14285714 -0.10204082 -0.06122449
 -0.02040816  0.02040816  0.06122449  0.10204082  0.14285714  0.18367347
  0.2244898   0.26530612  0.30612245  0.34693878  0.3877551   0.42857143
  0.46938776  0.51020408  0.55102041  0.59183673  0.63265306  0.67346939
  0.71428571  0.75510204  0.79591837  0.83673469  0.87755102  0.91836735
  0.95918367  1.        ]","[0.88, 0.86, 0.84, 0.815, 0.815, 0.79, 0.78, 0.765, 0.78, 0.795, 0.74, 0.73, 0.73, 0.725, 0.72, 0.71, 0.685, 0.65, 0.59, 0.63, 0.625, 0.675, 0.62, 0.645, 0.645, 0.665, 0.64, 0.625, 0.635, 0.615, 0.705, 0.635, 0.72, 0.71, 0.64, 0.705, 0.72, 0.69, 0.695, 0.74, 0.71, 0.765, 0.81, 0.815, 0.795, 0.8, 0.805, 0.845, 0.825, 0.835]"
0.05,20,0,exponencial,0,1,70,random,"(0,)","(100,)","(0,)","(100,)",-1,1,50,200,"[-1.         -0.95918367 -0.91836735 -0.87755102 -0.83673469 -0.79591837
 -0.75510204 -0.71428571 -0.67346939 -0.63265306 -0.59183673 -0.55102041
 -0.51020408 -0.46938776 -0.42857143 -0.3877551  -0.34693878 -0.30612245
 -0.26530612 -0.2244898  -0.18367347 -0.14285714 -0.10204082 -0.06122449
 -0.02040816  0.02040816  0.06122449  0.10204082  0.14285714  0.18367347
  0.2244898   0.26530612  0.30612245  0.34693878  0.3877551   0.42857143
  0.46938776  0.51020408  0.55102041  0.59183673  0.63265306  0.67346939
  0.71428571  0.75510204  0.79591837  0.83673469  0.87755102  0.91836735
  0.95918367  1.        ]","[0.875, 0.835, 0.87, 0.795, 0.845, 0.785, 0.795, 0.795, 0.735, 0.775, 0.78, 0.715, 0.765, 0.73, 0.675, 0.735, 0.715, 0.695, 0.75, 0.69, 0.71, 0.66, 0.615, 0.635, 0.685, 0.7, 0.63, 0.63, 0.705, 0.675, 0.635, 0.705, 0.705, 0.705, 0.725, 0.705, 0.7, 0.775, 0.765, 0.75, 0.815, 0.73, 0.79, 0.8, 0.775, 0.8, 0.855, 0.795, 0.84, 0.92]"
0.05,20,0,exponencial,0,1,80,random,"(0,)","(100,)","(0,)","(100,)",-1,1,50,200,"[-1.         -0.95918367 -0.91836735 -0.87755102 -0.83673469 -0.79591837
 -0.75510204 -0.71428571 -0.67346939 -0.63265306 -0.59183673 -0.55102041
 -0.51020408 -0.46938776 -0.42857143 -0.3877551  -0.34693878 -0.30612245
 -0.26530612 -0.2244898  -0.18367347 -0.14285714 -0.10204082 -0.06122449
 -0.02040816  0.02040816  0.06122449  0.10204082  0.14285714  0.18367347
  0.2244898   0.26530612  0.30612245  0.34693878  0.3877551   0.42857143
  0.46938776  0.51020408  0.55102041  0.59183673  0.63265306  0.67346939
  0.71428571  0.75510204  0.79591837  0.83673469  0.87755102  0.91836735
  0.95918367  1.        ]","[0.865, 0.835, 0.86, 0.765, 0.8, 0.81, 0.815, 0.855, 0.83, 0.825, 0.74, 0.74, 0.73, 0.67, 0.71, 0.71, 0.74, 0.695, 0.725, 0.655, 0.665, 0.735, 0.72, 0.64, 0.675, 0.63, 0.67, 0.725, 0.69, 0.68, 0.745, 0.71, 0.745, 0.715, 0.75, 0.785, 0.725, 0.79, 0.705, 0.77, 0.81, 0.8, 0.745, 0.745, 0.865, 0.79, 0.85, 0.835, 0.855, 0.875]"
0.05,20,0,exponencial,0,1,90,random,"(0,)","(100,)","(0,)","(100,)",-1,1,50,200,"[-1.         -0.95918367 -0.91836735 -0.87755102 -0.83673469 -0.79591837
 -0.75510204 -0.71428571 -0.67346939 -0.63265306 -0.59183673 -0.55102041
 -0.51020408 -0.46938776 -0.42857143 -0.3877551  -0.34693878 -0.30612245
 -0.26530612 -0.2244898  -0.18367347 -0.14285714 -0.10204082 -0.06122449
 -0.02040816  0.02040816  0.06122449  0.10204082  0.14285714  0.18367347
  0.2244898   0.26530612  0.30612245  0.34693878  0.3877551   0.42857143
  0.46938776  0.51020408  0.55102041  0.59183673  0.63265306  0.67346939
  0.71428571  0.75510204  0.79591837  0.83673469  0.87755102  0.91836735
  0.95918367  1.        ]","[0.875, 0.87, 0.865, 0.825, 0.82, 0.825, 0.81, 0.805, 0.825, 0.765, 0.75, 0.83, 0.8, 0.725, 0.755, 0.76, 0.745, 0.675, 0.74, 0.695, 0.76, 0.77, 0.68, 0.72, 0.705, 0.725, 0.67, 0.735, 0.68, 0.755, 0.72, 0.69, 0.76, 0.775, 0.69, 0.755, 0.77, 0.78, 0.75, 0.84, 0.79, 0.79, 0.86, 0.81, 0.845, 0.83, 0.84, 0.8, 0.855, 0.85]"
0.05,20,0,exponencial,0,1,100,random,"(0,)","(100,)","(0,)","(100,)",-1,1,50,200,"[-1.         -0.95918367 -0.91836735 -0.87755102 -0.83673469 -0.79591837
 -0.75510204 -0.71428571 -0.67346939 -0.63265306 -0.59183673 -0.55102041
 -0.51020408 -0.46938776 -0.42857143 -0.3877551  -0.34693878 -0.30612245
 -0.26530612 -0.2244898  -0.18367347 -0.14285714 -0.10204082 -0.06122449
 -0.02040816  0.02040816  0.06122449  0.10204082  0.14285714  0.18367347
  0.2244898   0.26530612  0.30612245  0.34693878  0.3877551   0.42857143
  0.46938776  0.51020408  0.55102041  0.59183673  0.63265306  0.67346939
  0.71428571  0.75510204  0.79591837  0.83673469  0.87755102  0.91836735
  0.95918367  1.        ]","[0.89, 0.86, 0.855, 0.84, 0.81, 0.85, 0.81, 0.81, 0.805, 0.77, 0.755, 0.77, 0.76, 0.775, 0.785, 0.735, 0.74, 0.76, 0.73, 0.715, 0.72, 0.71, 0.75, 0.725, 0.74, 0.745, 0.675, 0.69, 0.72, 0.755, 0.75, 0.76, 0.725, 0.73, 0.815, 0.81, 0.83, 0.755, 0.77, 0.75, 0.8, 0.815, 0.805, 0.8, 0.865, 0.845, 0.855, 0.875, 0.835, 0.91]"
